reference_answer,student_answer,score,similarity
"the water was evaporated, leaving the salt.",by letting it sit in a dish for a day.,1,0.22290777
"the water was evaporated, leaving the salt.",let the water evaporate and the salt is left behind.,4,0.8056522
"the water was evaporated, leaving the salt.",the water evaporated and left salt crystals.,4,0.7873222
"the water was evaporated, leaving the salt.",i saw a pinkish grayish color that was blocking the water.,1,0.37685078
"the water was evaporated, leaving the salt.",you have to slowly tip the vial for only the water to go.,1,0.37094724
"the water was evaporated, leaving the salt.","by pouring the water and salt into the thing, and letting the water evaporate.",4,0.58560294
"the water was evaporated, leaving the salt.",by slowly pouring it in a tray.,1,0.2125009
"the water was evaporated, leaving the salt.",the water evaporated so there was only salt left.,4,0.93986535
"the water was evaporated, leaving the salt.",we put the water with the salt in it and put it outside for the water to evaporate.,4,0.65402347
"the water was evaporated, leaving the salt.",i separated the salt from the water because the salt are on the rocks that are on the bottom and the water is on the top.,1,0.714123
"the water was evaporated, leaving the salt.",because you can see salt in water.,1,0.62116134
"the water was evaporated, leaving the salt.",i let the water evaporate.,4,0.59907573
"the water was evaporated, leaving the salt.",the water dried up and left the salt.,4,0.9169298
"the water was evaporated, leaving the salt.",we let the water evaporate.,4,0.5540592
"the water was evaporated, leaving the salt.",the water dried up.,4,0.66455406
"the water was evaporated, leaving the salt.",you just get water and the smashed mock rock and put the smashed rock and water together.,1,0.2839146
"the water was evaporated, leaving the salt.","you put the water, a little bit, in a cup and leave it overnight.",2,0.40349004
"the water was evaporated, leaving the salt.",we evaporated the salt from the water because the water evaporated and separated.,4,0.82116085
"the water was evaporated, leaving the salt.",we put the water and salt in the petri dish. the water evaporated and the salt became crystals.,4,0.6139129
"the water was evaporated, leaving the salt.",we poured the salt into a petri dish and poured the water out.,1,0.6643071
"the water was evaporated, leaving the salt.",by the petri dish.,1,0.21801163
"the water was evaporated, leaving the salt.",by putting water in a petri dish and letting the water evaporate.,4,0.38756567
"the water was evaporated, leaving the salt.",poured the top of the vial out.,1,0.2837134
"the water was evaporated, leaving the salt.",the salt dissolved and the water evaporated and the salt went to the bottom.,4,0.8791724
"the water was evaporated, leaving the salt.",we put it in a evaporation dish and the water evaporated.,4,0.4784294
"the water was evaporated, leaving the salt.",i put it on the evaporating dish.,4,0.32402346
"the water was evaporated, leaving the salt.",by pouring the water into the salt.,1,0.5960628
"the water was evaporated, leaving the salt.",we poured the water out of the bottle.,1,0.3959833
"the water was evaporated, leaving the salt.",letting the water evaporate.,4,0.61088747
"the water was evaporated, leaving the salt.",put it on a dish and then the water gets in the air and the salt stays.,4,0.64314204
"the water was evaporated, leaving the salt.",i do not know.,0,0.08332424
"the water was evaporated, leaving the salt.",the salt separated with the water because the salt was heavier but the water was not even heavy.,1,0.7752912
"the water was evaporated, leaving the salt.",we put the water in a clear cup and let it sit and the water evaporated and the salt stayed.,4,0.7794376
"the water was evaporated, leaving the salt.",i put some water in a dish and let the water evaporate so the salt would stay.,4,0.74706393
"the water was evaporated, leaving the salt.",evaporate.,2,0.5297197
"the water was evaporated, leaving the salt.",the crystals were salt.,1,0.61083406
the crystals were square with xs on the surface.,we used magnifying glasses and some sort of guide thing that told us what different kinds of salt looks like.,1,0.29497463
the crystals were square with xs on the surface.,you take a look through the magnifying glass.,1,0.21138443
the crystals were square with xs on the surface.,because of the paper we looked at.,1,0.19404146
the crystals were square with xs on the surface.,we looked at a piece of paper and one of the pictures looked like the crystals.,1,0.6638267
the crystals were square with xs on the surface.,they will not shine.,1,0.1262963
the crystals were square with xs on the surface.,they were square like salt.,4,0.5096503
the crystals were square with xs on the surface.,we knew the crystals were salt because the crystal identification chart showed us that the different kinds of salt were crystals.,1,0.5347937
the crystals were square with xs on the surface.,it said so on a paper.,1,0.111157805
the crystals were square with xs on the surface.,because it was at it because we had a chart that could tell us that.,1,0.16672358
the crystals were square with xs on the surface.,they looked like salt.,1,0.26952416
the crystals were square with xs on the surface.,we got a sheet with different kinds of crystals. so i looked for the same picture like the crystal and it said kosher salt.,4,0.47014073
the crystals were square with xs on the surface.,the teacher told us.,0,0.21292344
the crystals were square with xs on the surface.,because salt is made up of little crystals.,1,0.3439902
the crystals were square with xs on the surface.,because salt look like little pieces of a crystal.,1,0.4030087
the crystals were square with xs on the surface.,i knew because they were shaped like kosher salt.,4,0.27588663
the crystals were square with xs on the surface.,i knew the crystals were salt by the movie we watched.,1,0.513996
the crystals were square with xs on the surface.,because flour does not turn into crystals.,1,0.36014047
the crystals were square with xs on the surface.,because salt is a crystal.,1,0.3789193
the crystals were square with xs on the surface.,"because it has a x in the middle, and salt was in it.",2,0.43818173
the crystals were square with xs on the surface.,the crystals are kosher salt and kosher salt is salt!,1,0.4191799
the crystals were square with xs on the surface.,by looking at the crystal identification sheet.,1,0.5133032
the crystals were square with xs on the surface.,because we measured them.,1,0.22698149
the crystals were square with xs on the surface.,because it was so shiny.,1,0.3104888
the crystals were square with xs on the surface.,they were powdery.,1,0.30640128
the crystals were square with xs on the surface.,because there were little shining things inside and i knew it was salt.,1,0.24486232
the crystals were square with xs on the surface.,because we learned it because it was white that is how we knew.,1,0.09941479
the crystals were square with xs on the surface.,i would know that the crystals were salt is the way how it looks.,1,0.60797024
the crystals were square with xs on the surface.,we poured the water we left it alone for 2 days and they dry up.,1,0.17718922
the crystals were square with xs on the surface.,after the water dried we noticed it was kosher salt.,1,0.18091051
the crystals were square with xs on the surface.,by breaking the rock.,1,0.14895038
the crystals were square with xs on the surface.,because it tastes like salt.,1,0.106222875
the crystals were square with xs on the surface.,because crystals are a kind of salt.,1,0.5237752
the crystals were square with xs on the surface.,i looked at them really closely and they looked like crystals and diamonds.,4,0.5162568
the crystals were square with xs on the surface.,because we looked in the magnifying glass.,1,0.20445576
the crystals were square with xs on the surface.,i knew the crystals were salt because of the patterns and shapes.,4,0.64273185
the crystals were square with xs on the surface.,i looked at the chart.,1,0.15611312
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,topaz is harder because it would be all no on the chart.,2,0.65218145
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,topaz is harder. because topaz is the hardest birthstone.,2,0.6736834
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",4,0.66554624
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,m to z is harder than mineral x and y.,1,0.537486
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,it is harder than x y z because we read about it this morning.,2,0.28049335
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,it is harder than them.,2,0.23831895
