reference_answer,student_answer,score,similarity
"the water was evaporated, leaving the salt.",by letting it sit in a dish for a day.,1,0.9967509587374146
"the water was evaporated, leaving the salt.",let the water evaporate and the salt is left behind.,4,0.9978460125776062
"the water was evaporated, leaving the salt.",the water evaporated and left salt crystals.,4,0.9973650792672589
"the water was evaporated, leaving the salt.",i saw a pinkish grayish color that was blocking the water.,1,0.997338927134438
"the water was evaporated, leaving the salt.",you have to slowly tip the vial for only the water to go.,1,0.9977742935809544
"the water was evaporated, leaving the salt.","by pouring the water and salt into the thing, and letting the water evaporate.",4,0.9985468880836512
"the water was evaporated, leaving the salt.",by slowly pouring it in a tray.,1,0.9966000172749115
"the water was evaporated, leaving the salt.",the water evaporated so there was only salt left.,4,0.9975750161908531
"the water was evaporated, leaving the salt.",we put the water with the salt in it and put it outside for the water to evaporate.,4,0.9985847795608376
"the water was evaporated, leaving the salt.",i separated the salt from the water because the salt are on the rocks that are on the bottom and the water is on the top.,1,0.9985153823673936
"the water was evaporated, leaving the salt.",because you can see salt in water.,1,0.9962277672783935
"the water was evaporated, leaving the salt.",i let the water evaporate.,4,0.9963618734194541
"the water was evaporated, leaving the salt.",the water dried up and left the salt.,4,0.9971207642840284
"the water was evaporated, leaving the salt.",we let the water evaporate.,4,0.9964564622406754
"the water was evaporated, leaving the salt.",the water dried up.,4,0.9954464439148364
"the water was evaporated, leaving the salt.",you just get water and the smashed mock rock and put the smashed rock and water together.,1,0.9977775817376482
"the water was evaporated, leaving the salt.","you put the water, a little bit, in a cup and leave it overnight.",2,0.9985126349773306
"the water was evaporated, leaving the salt.",we evaporated the salt from the water because the water evaporated and separated.,4,0.9987783730250814
"the water was evaporated, leaving the salt.",we put the water and salt in the petri dish. the water evaporated and the salt became crystals.,4,0.9989839629093866
"the water was evaporated, leaving the salt.",we poured the salt into a petri dish and poured the water out.,1,0.9979452670112253
"the water was evaporated, leaving the salt.",by the petri dish.,1,0.9956253818224838
"the water was evaporated, leaving the salt.",by putting water in a petri dish and letting the water evaporate.,4,0.9980792261447717
"the water was evaporated, leaving the salt.",poured the top of the vial out.,1,0.9970731526466419
"the water was evaporated, leaving the salt.",the salt dissolved and the water evaporated and the salt went to the bottom.,4,0.9990077252671768
"the water was evaporated, leaving the salt.",we put it in a evaporation dish and the water evaporated.,4,0.9979693804386855
"the water was evaporated, leaving the salt.",i put it on the evaporating dish.,4,0.9966664696111592
"the water was evaporated, leaving the salt.",by pouring the water into the salt.,1,0.9971150086003563
"the water was evaporated, leaving the salt.",we poured the water out of the bottle.,1,0.9972049835523169
"the water was evaporated, leaving the salt.",letting the water evaporate.,4,0.9965500720361655
"the water was evaporated, leaving the salt.",put it on a dish and then the water gets in the air and the salt stays.,4,0.9984649042944052
"the water was evaporated, leaving the salt.",i do not know.,0,0.9944709865485597
"the water was evaporated, leaving the salt.",the salt separated with the water because the salt was heavier but the water was not even heavy.,1,0.9989111408481086
"the water was evaporated, leaving the salt.",we put the water in a clear cup and let it sit and the water evaporated and the salt stayed.,4,0.9988354430319876
"the water was evaporated, leaving the salt.",i put some water in a dish and let the water evaporate so the salt would stay.,4,0.9987013719883842
"the water was evaporated, leaving the salt.",evaporate.,2,0.9957914752377409
"the water was evaporated, leaving the salt.",the crystals were salt.,1,0.996473649352778
the crystals were square with xs on the surface.,we used magnifying glasses and some sort of guide thing that told us what different kinds of salt looks like.,1,0.9976220856663902
the crystals were square with xs on the surface.,you take a look through the magnifying glass.,1,0.9966914338563686
the crystals were square with xs on the surface.,because of the paper we looked at.,1,0.996539946275796
the crystals were square with xs on the surface.,we looked at a piece of paper and one of the pictures looked like the crystals.,1,0.9976421387601411
the crystals were square with xs on the surface.,they will not shine.,1,0.9952240782797476
the crystals were square with xs on the surface.,they were square like salt.,4,0.9955167360965779
the crystals were square with xs on the surface.,we knew the crystals were salt because the crystal identification chart showed us that the different kinds of salt were crystals.,1,0.9980976118414542
the crystals were square with xs on the surface.,it said so on a paper.,1,0.9962234613397265
the crystals were square with xs on the surface.,because it was at it because we had a chart that could tell us that.,1,0.9974439410835741
the crystals were square with xs on the surface.,they looked like salt.,1,0.9950999729980639
the crystals were square with xs on the surface.,we got a sheet with different kinds of crystals. so i looked for the same picture like the crystal and it said kosher salt.,4,0.998089242432104
the crystals were square with xs on the surface.,the teacher told us.,0,0.9956022174668331
the crystals were square with xs on the surface.,because salt is made up of little crystals.,1,0.9974486186551061
the crystals were square with xs on the surface.,because salt look like little pieces of a crystal.,1,0.9972540141455281
the crystals were square with xs on the surface.,i knew because they were shaped like kosher salt.,4,0.9975052749693731
the crystals were square with xs on the surface.,i knew the crystals were salt by the movie we watched.,1,0.997907241896753
the crystals were square with xs on the surface.,because flour does not turn into crystals.,1,0.9970650245676054
the crystals were square with xs on the surface.,because salt is a crystal.,1,0.996235057367997
the crystals were square with xs on the surface.,"because it has a x in the middle, and salt was in it.",2,0.998065423247805
the crystals were square with xs on the surface.,the crystals are kosher salt and kosher salt is salt!,1,0.9972842763823446
the crystals were square with xs on the surface.,by looking at the crystal identification sheet.,1,0.9975486892727647
the crystals were square with xs on the surface.,because we measured them.,1,0.9966678850167041
the crystals were square with xs on the surface.,because it was so shiny.,1,0.9964120410998267
the crystals were square with xs on the surface.,they were powdery.,1,0.9960336778743573
the crystals were square with xs on the surface.,because there were little shining things inside and i knew it was salt.,1,0.9975149481117332
the crystals were square with xs on the surface.,because we learned it because it was white that is how we knew.,1,0.9972892126029445
the crystals were square with xs on the surface.,i would know that the crystals were salt is the way how it looks.,1,0.9981413466635016
the crystals were square with xs on the surface.,we poured the water we left it alone for 2 days and they dry up.,1,0.9968529546165062
the crystals were square with xs on the surface.,after the water dried we noticed it was kosher salt.,1,0.998215072340227
the crystals were square with xs on the surface.,by breaking the rock.,1,0.9972639311794361
the crystals were square with xs on the surface.,because it tastes like salt.,1,0.9962677421816104
the crystals were square with xs on the surface.,because crystals are a kind of salt.,1,0.9988402697110863
the crystals were square with xs on the surface.,i looked at them really closely and they looked like crystals and diamonds.,4,0.9984014419618621
the crystals were square with xs on the surface.,because we looked in the magnifying glass.,1,0.998273565736185
the crystals were square with xs on the surface.,i knew the crystals were salt because of the patterns and shapes.,4,0.9989792762785215
the crystals were square with xs on the surface.,i looked at the chart.,1,0.9980853983099987
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,topaz is harder because it would be all no on the chart.,2,0.9965741773929028
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,topaz is harder. because topaz is the hardest birthstone.,2,0.9963755212175609
