reference_answer,student_answer,score,similarity
"the water was evaporated, leaving the salt.",by letting it sit in a dish for a day.,1,0.952927
"the water was evaporated, leaving the salt.",let the water evaporate and the salt is left behind.,4,0.89994776
"the water was evaporated, leaving the salt.",the water evaporated and left salt crystals.,4,0.956427
"the water was evaporated, leaving the salt.",i saw a pinkish grayish color that was blocking the water.,1,0.9083643
"the water was evaporated, leaving the salt.",you have to slowly tip the vial for only the water to go.,1,0.95506245
"the water was evaporated, leaving the salt.","by pouring the water and salt into the thing, and letting the water evaporate.",4,0.9685179
"the water was evaporated, leaving the salt.",by slowly pouring it in a tray.,1,0.9507618
"the water was evaporated, leaving the salt.",the water evaporated so there was only salt left.,4,0.96584344
"the water was evaporated, leaving the salt.",we put the water with the salt in it and put it outside for the water to evaporate.,4,0.96293414
"the water was evaporated, leaving the salt.",i separated the salt from the water because the salt are on the rocks that are on the bottom and the water is on the top.,1,0.94746184
"the water was evaporated, leaving the salt.",because you can see salt in water.,1,0.9476805
"the water was evaporated, leaving the salt.",i let the water evaporate.,4,0.9185613
"the water was evaporated, leaving the salt.",the water dried up and left the salt.,4,0.9609881
"the water was evaporated, leaving the salt.",we let the water evaporate.,4,0.9451912
"the water was evaporated, leaving the salt.",the water dried up.,4,0.94589436
"the water was evaporated, leaving the salt.",you just get water and the smashed mock rock and put the smashed rock and water together.,1,0.9579639
"the water was evaporated, leaving the salt.","you put the water, a little bit, in a cup and leave it overnight.",2,0.8958913
"the water was evaporated, leaving the salt.",we evaporated the salt from the water because the water evaporated and separated.,4,0.96844745
"the water was evaporated, leaving the salt.",we put the water and salt in the petri dish. the water evaporated and the salt became crystals.,4,0.9554932
"the water was evaporated, leaving the salt.",we poured the salt into a petri dish and poured the water out.,1,0.8764699
"the water was evaporated, leaving the salt.",by the petri dish.,1,0.9205121
"the water was evaporated, leaving the salt.",by putting water in a petri dish and letting the water evaporate.,4,0.88088393
"the water was evaporated, leaving the salt.",poured the top of the vial out.,1,0.9484476
"the water was evaporated, leaving the salt.",the salt dissolved and the water evaporated and the salt went to the bottom.,4,0.9799548
"the water was evaporated, leaving the salt.",we put it in a evaporation dish and the water evaporated.,4,0.89660144
"the water was evaporated, leaving the salt.",i put it on the evaporating dish.,4,0.9489094
"the water was evaporated, leaving the salt.",by pouring the water into the salt.,1,0.9522536
"the water was evaporated, leaving the salt.",we poured the water out of the bottle.,1,0.95881003
"the water was evaporated, leaving the salt.",letting the water evaporate.,4,0.9454267
"the water was evaporated, leaving the salt.",put it on a dish and then the water gets in the air and the salt stays.,4,0.87310547
"the water was evaporated, leaving the salt.",i do not know.,0,0.90426016
"the water was evaporated, leaving the salt.",the salt separated with the water because the salt was heavier but the water was not even heavy.,1,0.9680051
"the water was evaporated, leaving the salt.",we put the water in a clear cup and let it sit and the water evaporated and the salt stayed.,4,0.8819417
"the water was evaporated, leaving the salt.",i put some water in a dish and let the water evaporate so the salt would stay.,4,0.91059923
"the water was evaporated, leaving the salt.",evaporate.,2,0.9457592
"the water was evaporated, leaving the salt.",the crystals were salt.,1,0.9463063
the crystals were square with xs on the surface.,we used magnifying glasses and some sort of guide thing that told us what different kinds of salt looks like.,1,0.932017
the crystals were square with xs on the surface.,you take a look through the magnifying glass.,1,0.9662661
the crystals were square with xs on the surface.,because of the paper we looked at.,1,0.8549628
the crystals were square with xs on the surface.,we looked at a piece of paper and one of the pictures looked like the crystals.,1,0.9778208
the crystals were square with xs on the surface.,they will not shine.,1,0.8707208
the crystals were square with xs on the surface.,they were square like salt.,4,0.8517477
the crystals were square with xs on the surface.,we knew the crystals were salt because the crystal identification chart showed us that the different kinds of salt were crystals.,1,0.98445666
the crystals were square with xs on the surface.,it said so on a paper.,1,0.8303516
the crystals were square with xs on the surface.,because it was at it because we had a chart that could tell us that.,1,0.970091
the crystals were square with xs on the surface.,they looked like salt.,1,0.8512162
the crystals were square with xs on the surface.,we got a sheet with different kinds of crystals. so i looked for the same picture like the crystal and it said kosher salt.,4,0.9868884
the crystals were square with xs on the surface.,the teacher told us.,0,0.87971973
the crystals were square with xs on the surface.,because salt is made up of little crystals.,1,0.96614015
the crystals were square with xs on the surface.,because salt look like little pieces of a crystal.,1,0.94255525
the crystals were square with xs on the surface.,i knew because they were shaped like kosher salt.,4,0.98316854
the crystals were square with xs on the surface.,i knew the crystals were salt by the movie we watched.,1,0.98758185
the crystals were square with xs on the surface.,because flour does not turn into crystals.,1,0.97300166
the crystals were square with xs on the surface.,because salt is a crystal.,1,0.93129116
the crystals were square with xs on the surface.,"because it has a x in the middle, and salt was in it.",2,0.9879962
the crystals were square with xs on the surface.,the crystals are kosher salt and kosher salt is salt!,1,0.9915412
the crystals were square with xs on the surface.,by looking at the crystal identification sheet.,1,0.9049805
the crystals were square with xs on the surface.,because we measured them.,1,0.9172353
the crystals were square with xs on the surface.,because it was so shiny.,1,0.90897346
the crystals were square with xs on the surface.,they were powdery.,1,0.83825594
the crystals were square with xs on the surface.,because there were little shining things inside and i knew it was salt.,1,0.9663843
the crystals were square with xs on the surface.,because we learned it because it was white that is how we knew.,1,0.9597344
the crystals were square with xs on the surface.,i would know that the crystals were salt is the way how it looks.,1,0.9837935
the crystals were square with xs on the surface.,we poured the water we left it alone for 2 days and they dry up.,1,0.9452095
the crystals were square with xs on the surface.,after the water dried we noticed it was kosher salt.,1,0.9351015
the crystals were square with xs on the surface.,by breaking the rock.,1,0.87596995
the crystals were square with xs on the surface.,because it tastes like salt.,1,0.9505004
the crystals were square with xs on the surface.,because crystals are a kind of salt.,1,0.9884308
the crystals were square with xs on the surface.,i looked at them really closely and they looked like crystals and diamonds.,4,0.98676693
the crystals were square with xs on the surface.,because we looked in the magnifying glass.,1,0.968023
the crystals were square with xs on the surface.,i knew the crystals were salt because of the patterns and shapes.,4,0.9802149
the crystals were square with xs on the surface.,i looked at the chart.,1,0.8631108
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,topaz is harder because it would be all no on the chart.,2,0.9466072
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,topaz is harder. because topaz is the hardest birthstone.,2,0.93482566
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",4,0.9583992
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,m to z is harder than mineral x and y.,1,0.8068049
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,it is harder than x y z because we read about it this morning.,2,0.88177997
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,it is harder than them.,2,0.8733921
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"it is harder than minerals x, y, and z because it cannot be scratched by either one.",4,0.8813037
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,a topaz is compared to z because it cannot be scratched with 2 thirds things. y is all the opposite of topaz. x cannot be scratched with one third of a topaz cannot be scratched.,3,0.8909532
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,the topaz is the first hardest mineral out of the 3 on the chart.,2,0.9166242
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"topaz is harder than all of them. it is just barely harder than z, way harder than y, and pretty harder than x.",2,0.941718
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"topaz is harder than x, y, and z because topaz cannot be scratched by a fingernail, a penny, or a paperclip so it is the hardest.",4,0.92646134
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"tied with mineral y because they are both yes, yes, and yes.",3,0.89002633
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"topaz would be all no's compared the minerals x, y, and z because topaz is one of the scratch free minerals.",1,0.94477355
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"topaz is harder than minerals x, y, and z because topaz cannot be scratched by a fingernail, penny or a paperclip. so it is harder.",4,0.9166566
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"it is a soft rock z, i think it is the same as y because they can both be scratched by everything. it is little bit hard to x.",3,0.8997996
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"topaz is harder than x, y, and z because it cannot be scratched by a fingernail, a laser, or a paperclip.",4,0.9395548
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,topaz is the hardest out of all minerals because it did not get scratched by any tool.,4,0.93323225
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,like steel if you rub them and if it does not scratch.,1,0.91032606
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,it is harder than all of the other minerals because it cannot get scratched by none of the scratching materials and all the other minerals can get scratched at least one time.,4,0.8888641
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"it is harder than x, y, z. i know it is harder than x, y, and z because nothing can scratch it.",4,0.92117697
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"minerals x has 2 of them in a paperclip and penny. and the y, z and the minerals y is the hardest in it.",3,0.88958085
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,it is the hardest because it cannot be scratched by any of them and the others can be scratched with at least one of the minerals.,4,0.91862905
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,mineral z can scratch topaz because mineral z cannot be scratched by a penny or a fingernail but it can get scratched by a paperclip.,3,0.8867941
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"it is so strong that minerals x, y, z cannot break it.",2,0.8651302
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,i know because when you break a rock that is when you know it is hard or not hard.,1,0.90020216
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"how it is compared to x, y, and z is that the finger and the penny cannot scratch mineral x and z.",2,0.86454475
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,i know it is z because it has one yes and 2 no's.,3,0.89292836
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"mineral z cannot be scratched by penny, fingernail, and paperclip. topaz cannot be scratched by anything.",3,0.8993629
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"topaz has to have x, y, z as minerals.",1,0.9222655
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,because it is harder.,2,0.85271627
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,i know because a fingernail cannot be scratched the most.,1,0.8630408
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"topaz is the hardest because none of them can scratch it but at least one them can scratch x, y, z.",4,0.9616672
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,topaz would be the hardest because none of the tools could scratch it and at least one tool.,4,0.96086776
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,topaz would be hardest because none of the tools could scratch it and at least one tool could scratch x y z.,4,0.95671177
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,it would be the hardest because none of the tools could scratch it.,4,0.8996819
topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,"topaz would be hardest because none of the tools could scratch it and at least one tool could scratch x, y, and z.",4,0.9634553
rub the minerals together and see which one scratches the other.,she can do a scratch test and see which one is harder.,2,0.9441972
rub the minerals together and see which one scratches the other.,scratch one against the other.,4,0.94455206
rub the minerals together and see which one scratches the other.,rub them together.,2,0.9781855
rub the minerals together and see which one scratches the other.,by scratching them.,2,0.95819736
rub the minerals together and see which one scratches the other.,rubbing them together.,2,0.94744116
rub the minerals together and see which one scratches the other.,scratch them together.,4,0.9302244
rub the minerals together and see which one scratches the other.,scratch them against each other.,4,0.932987
rub the minerals together and see which one scratches the other.,use her fingernail.,1,0.9302703
rub the minerals together and see which one scratches the other.,a rock scratch.,2,0.9253115
rub the minerals together and see which one scratches the other.,use your fingernail.,2,0.93825257
rub the minerals together and see which one scratches the other.,scratch the 2 together.,4,0.9149307
rub the minerals together and see which one scratches the other.,scratch one against the other.,4,0.913447
rub the minerals together and see which one scratches the other.,she can use her nail and penny.,1,0.92666084
rub the minerals together and see which one scratches the other.,scratch them together.,4,0.9302244
rub the minerals together and see which one scratches the other.,georgia could rub them together.,2,0.93308234
rub the minerals together and see which one scratches the other.,scratch them together.,4,0.9302244
rub the minerals together and see which one scratches the other.,scratch the minerals together.,4,0.9408789
rub the minerals together and see which one scratches the other.,from scratching with another minerals.,2,0.9362087
rub the minerals together and see which one scratches the other.,she can scratch them together and the one with the mark is the soft one.,4,0.9592248
rub the minerals together and see which one scratches the other.,she can scratch it together and look and see which leave a scratch.,4,0.95819896
rub the minerals together and see which one scratches the other.,she could rub them together.,2,0.91153914
rub the minerals together and see which one scratches the other.,georgia could rub them together.,4,0.91699684
rub the minerals together and see which one scratches the other.,she could rub them together.,2,0.91153914
rub the minerals together and see which one scratches the other.,scratch the 2 rocks together.,4,0.9214642
rub the minerals together and see which one scratches the other.,by rubbing them together and touching them.,2,0.94651496
rub the minerals together and see which one scratches the other.,with her nail.,1,0.91892433
rub the minerals together and see which one scratches the other.,rub them together.,4,0.93144304
rub the minerals together and see which one scratches the other.,rub them together.,2,0.93144304
rub the minerals together and see which one scratches the other.,rubbing them together.,2,0.9338819
rub the minerals together and see which one scratches the other.,"she can rub them together and switch, if there is a mark on it and it goes away, it is hard.",4,0.90130365
rub the minerals together and see which one scratches the other.,rub them together to see if scratch the other.,4,0.95114726
rub the minerals together and see which one scratches the other.,rub them together.,2,0.93144304
rub the minerals together and see which one scratches the other.,"rub them together, see which will scratch the other.",4,0.95795894
rub the minerals together and see which one scratches the other.,rub them together and see if you can scratch it harder.,4,0.9666042
rub the minerals together and see which one scratches the other.,rub them together and see if one scratches the other.,4,0.96483326
rub the minerals together and see which one scratches the other.,rub them to see if one scratches the other.,4,0.9497935
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",because whichever one scratches is the hardest.,4,0.90022093
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",which one makes a deeper scratch.,4,0.893803
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",the other one that did not break is the hardest.,1,0.79768634
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",see which one scratched the other.,4,0.8590398
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.","one will scratch the other one. she should rub the scratch, too. that way she knows if it is a scratch or dust from the other mineral.",4,0.989205
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",first you take the black mineral and rub it against the brown mineral. then see if you can wipe off the mark and if you can the brown one is harder and if you cannot the black one is harder.,4,0.97940326
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.","she can rub the scratch. if it goes away, the black one is harder. if it stays there, the brown one is harder.",4,0.9510094
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",the one with scratches or deeper scratches is weaker and the other rock is harder.,4,0.8236373
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",when she rubs them together and the other one breaks the one that did not break is the hardest.,2,0.9819445
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",because it will break.,1,0.8865014
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",scratch test.,2,0.8281816
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",the harder mineral will scratch the color off of the softer one.,4,0.901884
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",the one that make a mark. she should also see if stuff comes off when she scratches it.,4,0.98197633
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",if she does scratch one on the other and one gets a mark that you can to rub off. then you know the other one is harder.,4,0.9890029
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",a penny.,1,0.80710477
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",the one with a scratch.,3,0.8662117
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",the mineral with no scratch is the hardest because the other one could not scratch it.,4,0.93507814
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",the one that scratches the other.,4,0.8012889
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",whichever one gets scratched is the softest.,4,0.96693665
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",whichever one got scratched.,3,0.92838955
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",scratch them together.,4,0.84063554
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",whichever one that has more scratches.,3,0.9093974
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",because maybe something will come off.,1,0.89406824
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",the one that does not break.,1,0.8398521
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",by rubbing them together whichever one the chalky stuff comes off of is the hardness.,3,0.858572
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",the skin of the saltiest will come off.,1,0.8464866
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",the one that does not have a scratch.,4,0.8823012
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",the one who resists is the hardest.,1,0.97249305
"the harder mineral will leave a scratch on the less hard mineral. if the black mineral is harder, the brown mineral will have a scratch.",because she can touch and see which is hard.,1,0.8415127
